cycle,country,irrigation,sun,temperature,yield
C5,Spain,2.657004039,452.6800197,20.45095172,7.29
C6,Spain,4.361300163,270.5544414,22.21142353,7.46
C1,Spain,3.930733881,343.8885167,20.47965015,11.91
C4,Spain,3.912524609,715.3621813,15.71070175,9.71
C4,Spain,2.636220747,715.7441962,14.97480559,7.16
C4,Netherlands,3.316626529,370.3804199,21.40210479,10.57
C2,Spain,3.404802237,467.6046869,23.49222107,10.98
C4,Netherlands,4.732579652,370.91164,30.8336892,3.41
C6,Spain,4.251964996,271.1528852,20.92578093,8.38
C3,Spain,3.755938341,614.8902859,17.51661495,10.21
C5,Spain,3.68672936,454.2248784,19.35297856,11.58
C1,Netherlands,3.824460746,126.2396922,15.83647954,5.93
C1,Spain,3.767384356,341.8221018,19.43830498,12.58
C5,Netherlands,4.372994187,241.9781134,24.13883994,6.35
C3,Spain,3.584772354,617.3372042,19.20789364,12.19
C2,Spain,3.404776745,465.6718293,14.77797795,7.63
C1,Netherlands,4.098833551,129.4743527,16.72052883,8.26
C2,Spain,3.915753242,465.9444202,21.96134559,9.87
C6,Spain,3.87741913,271.0439623,22.19625116,9.14
C2,Spain,3.294894844,466.7856586,17.13721069,7.99
C6,Netherlands,3.14190051,90.35713178,23.68006944,6.98
C1,Netherlands,4.233954339,126.0341843,18.09215718,8.57
C2,Netherlands,3.542139263,285.6874989,20.8034989,10.91
C5,Spain,3.884482761,455.10931,18.37699563,12.38
C4,Netherlands,2.850401846,370.1028148,22.21721849,7.92
C1,Spain,3.760411662,342.1618946,19.06517726,11.78
C4,Spain,3.907430543,714.1842141,23.02786176,9.26
C6,Netherlands,3.045313663,87.90731854,20.10668447,6.57
C1,Netherlands,4.091278054,127.761323,21.65093845,6.14
C3,Netherlands,2.950059767,424.6678126,25.91954348,8.59
C4,Spain,4.417139003,714.4100783,19.64558936,9.27
C1,Netherlands,4.206299982,126.8674457,20.75411596,6.44
C2,Netherlands,3.672798051,285.019882,17.02479401,7.95
C4,Spain,3.71516726,715.7306465,22.22071878,11.92
C6,Spain,3.711828198,272.1144782,17.31714974,9.11
C4,Netherlands,4.527632605,370.313675,22.18223611,7.66
C4,Spain,4.441741405,716.1357265,25.83985893,6.56
C1,Netherlands,4.568095995,128.3277696,26.38822509,2.66
C2,Netherlands,4.784844079,285.8576751,23.5613036,5.58
C2,Netherlands,3.957061628,284.4386245,20.64249386,10.13
C2,Spain,4.397825817,465.5754937,24.0914284,7.51
C1,Netherlands,4.73067746,126.8436252,19.86083052,6.18
C3,Spain,3.950207019,615.2412219,19.07743294,13.1
C5,Spain,4.457805349,454.6685623,22.3202761,7.84
C4,Netherlands,3.873399892,369.271239,17.25175755,9.55
C4,Spain,4.083706255,713.5482925,15.25344794,7.95
C3,Spain,3.270699706,614.7501261,18.96969123,9.31
C5,Spain,3.46955053,451.4581506,18.71529702,10.33
